voltageLevelId;xPosition;yPosition;xLabelPosition;yLabelPosition
.CSSM 7;1161178;-2081849;1161178;-2081849
.CTLA 6;978338;-2092514;970934;-2092997
.CTLA 7;965452;-2100260;958979;-2101487
.CTLHP3;894636;-2269778;900460;-2271131
.CTLOP3;900325;-2260811;904875;-2261758
.CZCE 5;846289;-2600953;846289;-2600953
.CZCE 7;846117;-2650283;833652;-2651485
.DAHL 7;1003033;-2623292;1003033;-2623292
.DAXL 6;1181554;-2382383;1189359;-2387193
.DAXL 7;1159072;-2403275;1176455;-2411550
.DIEF 6;1029938;-2508831;1035498;-2502421
.DIEL 7;1093771;-2947327;1084638;-2963846
.DIEM 7;840939;-2871243;844915;-2858965
.DODE 7;882162;-2823754;869967;-2824340
.DOEL 7;761843;-2705186;760635;-2698139
.DOET 7;919339;-2829231;914865;-2840035
.DROG 7;832142;-2668461;829910;-2660906
.EEKL 7;726714;-2716732;721833;-2717679
.EEMS 7;875949;-2812331;876149;-2811731
.EICH 6;1112037;-2320867;1102543;-2328918
.EICH 7;1127411;-2315496;1139989;-2311660
.EIND 7;855177;-2754733;860615;-2761679
.ELGE 6;130672;-1695167;139346;-1697052
.ELIA 6;-53592;-1389027;-53592;-1389027
.ELIA 7;-53592;-1389027;-53592;-1389027
.ENGS 7;1243486;-2321530;1233647;-2321816
.ENS  7;934861;-2913098;924858;-2902484
.ENSD 6;970846;-2509049;981461;-2498596
.ENSD 7;970760;-2517310;962026;-2524339
.ENTR 6;202350;-1452510;202350;-1452510
.ERZE 6;1111415;-1944079;1111415;-1944079
.ESC5 6;178952;-1582918;178952;-1582918
.ESC5 7;197273;-1569208;197273;-1569207
.ESC6 6;318895;-1658216;323035;-1661720
.ESPA 6;194666;-1543967;194666;-1543967
.ESPL 6;315900;-1503914;315900;-1503913
.ESPL 7;316591;-1516005;318047;-1519391
.ESQU 6;277166;-1615244;277166;-1615244
.F.AL 7;-52176;-1389027;-52176;-1389027
.F.MU 6;-53926;-1389027;-53926;-1389027
.FARC 5;815543;-2607474;815543;-2607474
.FARG 6;566464;-1610112;566464;-1610112
.FARG 7;575885;-1615530;575885;-1615530
.FILI 7;1241931;-2146615;1242639;-2135193
.FLEB 6;950490;-2557178;946365;-2559331
.FLRO 7;1286227;-2120742;1286227;-2120742
.FLUM 6;1083927;-2202830;1078977;-2204263
.FORE 6;918855;-2126446;915752;-2130984
.FORT 6;312969;-1675774;312969;-1675773
.FRAN 6;479301;-1626458;472530;-1629004
.FUEN 7;19837;-1405738;19837;-1405738
.G.ROP5;462432;-1653933;464930;-1646794
.G.ROP6;504094;-1651697;501416;-1643665
